model,n_targets,validity,connected,pb_valid_rate,clash_free_rate,qed_mean,sa_mean,lipinski_frac,vina_score_mean,vina_min_mean,vina_dock_mean,div_uniqueness,div_scaffold_diversity,tanimoto_ref_mean,hit_rate,hit_scaffold_unique_rate
diffsbdd,3,1.0,1.0,0.48803306886219805,0.6990985382079921,0.5180880093746963,4.73227344267291,0.9618994655186803,-4.394864102382308,-6.4732257025914635,-8.398704825291928,1.0,0.9621188118665636,0.10601589438298127,0.055663013109821614,0.055663013109821614
own,3,0.9633333333333334,0.9274742154926487,0.20832761612040604,0.3,0.390875877175934,5.740616719719763,0.8603613488406116,1.2113266666666658,-6.448706666666666,-9.37115441077441,0.9716919025674785,0.47439836149513565,0.10045629639311998,0.05333333333333334,0.013333333333333334
