model,target_id,n_generated,validity,connected,qed_mean,sa_mean,logp_mean,lipinski_frac,veber_frac,pains_free_frac,vina_score_median,vina_score_mean,vina_min_median,vina_min_mean,pb_valid_rate,clash_mean,clash_free_rate,strain_median,tanimoto_ref_mean,div_n_valid,div_uniqueness,div_internal_diversity,div_scaffold_diversity,div_novelty,ref_vina_score,ref_vina_min,ref_vina_dock,hit_rate,hit_scaffold_unique_rate
own,HDAC8_HUMAN_1_377_0,100,1.0,1.0,0.3865426357251526,7.123526926015721,-0.22198170000000012,1.0,0.73,0.98,,,,,0.0,0.0,1.0,2422.282922382051,0.03085566198978118,100,1.0,0.8876187024001752,0.75,,,,,0.0,0.0
own,PA21B_PIG_23_146_0,100,1.0,1.0,0.5869897453647632,6.543682761227145,0.3241593,1.0,0.97,0.99,,,,,0.75,0.02,0.99,493.2895868612861,0.059824433683609735,100,0.83,0.6129016194054462,0.58,,,,,0.0,0.0
own,P2Y12_HUMAN_1_342_0,100,1.0,1.0,0.39442738445249853,7.126984322711533,0.5976704,1.0,0.52,0.96,-8.7685,-8.91245,-8.225999999999999,-8.4133,0.1134020618556701,0.0,1.0,1890.6244490831582,0.05190493164505686,100,1.0,0.8959418105293474,0.88,,-10.428,-10.513,,0.0,0.0
own,DIDH_RAT_1_319_0,100,1.0,1.0,0.6185968619018255,7.283651957739108,0.7003819999999998,1.0,0.95,0.98,-6.737,-6.73799,-6.993,-6.974569999999999,0.24,0.0,1.0,717.6940652308695,0.05362088486503022,100,0.92,0.8739727747479846,0.89,,-8.816,-8.838,,0.0,0.0
own,GSTP1_HUMAN_2_210_0,100,1.0,1.0,0.6980457123767377,6.401353002965859,1.0817412999999998,1.0,0.68,0.35,-6.6845,-6.668830000000001,-7.3580000000000005,-7.309830000000002,0.74,0.0,1.0,182.628288452128,0.10909514560407586,100,0.07,0.14124636663609913,0.07,,-7.102,-7.094,,0.0,0.0
own,BSD_ASPTE_1_130_0,100,1.0,1.0,0.39315404303976803,6.660224972243724,-1.2195601999999999,1.0,0.15,0.77,,,,,0.043478260869565216,0.3,0.97,5215.355260447988,0.06313108713301747,100,1.0,0.8733551802516533,0.96,,,,,0.0,0.0
own,PLCD1_RAT_134_756_0,100,1.0,1.0,0.6159522600366168,5.360017214143295,0.4497869000000001,1.0,0.0,0.71,-5.072,-5.038830000000001,-5.9425,-5.8670800000000005,0.77,0.0,1.0,472.8115697259515,0.1220444551872863,100,0.2,0.3322266513627118,0.15,,-5.501,-5.586,,0.0,0.0
own,BGAT_HUMAN_63_353_0,100,1.0,1.0,0.393770817726038,6.434792855738803,-1.3881191000000002,1.0,0.13,0.82,,,,,0.06,0.0,1.0,1180.2335474944398,0.0754676839330554,100,1.0,0.821629137650401,0.84,,,,,0.0,0.0
own,UBE2T_HUMAN_1_156_0,100,1.0,1.0,0.5913762622284137,7.311354855304838,0.9641387,1.0,1.0,1.0,-4.27,-4.437250000000001,-4.314,-4.48073,0.42,0.0,1.0,254.93397355476526,0.06814972137140717,100,0.54,0.7797641493538614,0.41,,-4.231,-4.195,,0.0,0.0
own,PYRD_TRYCC_2_314_catalytic_0__3w83_B_rec,100,1.0,1.0,0.5204071376104171,6.656847763902507,-0.09784180000000008,1.0,1.0,1.0,-4.754,-4.69111,-4.928,-4.91787,0.76,0.0,1.0,160.85774322397793,0.03153587518587451,100,0.42,0.7342090142679294,0.38,,-2.969,-3.129,,0.0,0.0
own,ROCO4_DICDI_1009_1292_0,100,1.0,1.0,0.38127153426615573,7.244979274804743,0.46570090000000003,1.0,0.0,0.96,,,,,0.08,0.0,1.0,1192.7034062239636,0.10991371382390992,100,0.92,0.6258126886438835,0.52,,,,,0.0,0.0
own,IPMK_HUMAN_49_416_0,100,1.0,1.0,0.478653142565504,6.981996751851269,0.12050839999999984,0.99,0.0,0.97,,,,,0.18,0.0,1.0,818.1072979572389,0.11150899433735298,100,0.82,0.5949711915638571,0.5,,,,,0.0,0.0
own,BAZ2A_HUMAN_1795_1898_0,100,1.0,1.0,0.5700839409746652,7.102474451106583,0.2388311999999999,1.0,0.94,0.95,-4.8765,-4.85766,-4.987,-4.943239999999999,0.06,0.0,1.0,1083.9145666586985,0.05909997944816589,100,0.87,0.8849644727890765,0.81,,-4.114,-4.138,,0.0,0.0
own,CHOD_BREST_46_552_0,100,1.0,1.0,0.6610516591634576,6.484007065889913,-0.2919026999999999,1.0,0.78,1.0,-6.641,-6.55168,-6.51,-6.530540000000001,0.6868686868686869,0.0,1.0,442.5684659982521,0.04707967093670238,100,0.61,0.7860818543668335,0.39,,-9.593,-9.585,,0.0,0.0
own,PHP_SULSO_1_314_0,100,1.0,1.0,0.437479535675521,6.80629644456384,0.10377829999999992,1.0,0.92,1.0,,,,,0.79,0.0,1.0,383.18184868686353,0.035789490056746545,100,0.45,0.5979009401972705,0.15,,,,,0.0,0.0
own,MURA_ECOLI_1_419_catalytic_0,100,1.0,1.0,0.5292671976888704,6.333314415254426,-0.9317036000000001,1.0,0.05,0.94,-6.8870000000000005,-6.78889,-6.913,-6.868699999999999,0.21,0.0,1.0,993.9460329695098,0.09428077444399058,100,0.81,0.75050405480823,0.78,,-6.997,-7.012,,0.0,0.0
own,SIR3_HUMAN_117_398_0,100,1.0,1.0,0.5053707944778136,7.179254673913813,0.3865212000000001,1.0,0.82,0.97,,,,,0.0707070707070707,0.0,1.0,1313.792971270299,0.056126227903300435,100,1.0,0.9010433432820232,0.98,,,,,0.0,0.0
own,NOS1_HUMAN_302_723_0__3tym_A_rec,100,1.0,1.0,0.48737646966587833,7.037098576918932,0.7026600000000001,1.0,0.65,0.96,-4.95,-5.00144,-4.9215,-4.97444,0.19,0.0,1.0,963.8268893687264,0.023930811006482217,100,0.95,0.8473151219680317,0.74,,-6.362,-6.564,,0.0,0.0
own,NQO1_HUMAN_2_274_0__1gg5_A_rec,100,1.0,1.0,0.5403738054993501,7.2028564802575135,0.37973910000000005,1.0,0.88,0.95,-6.720000000000001,-6.555739999999999,-6.324,-6.4785699999999995,0.04040404040404041,0.02,0.99,1278.0602549621253,0.0663020570679683,100,0.99,0.8871066532833297,0.9696969696969697,,-5.798,-5.741,,0.0,0.0
own,NOS3_HUMAN_65_480_0__1rs9_A_rec,100,1.0,1.0,0.4985644221610498,6.797745136819008,-0.32020170000000014,1.0,1.0,0.99,-4.005,-4.06594,-4.041,-4.13248,0.37373737373737376,0.0,1.0,441.43008446010447,0.017758557276550797,100,1.0,0.889595567099319,0.76,,-3.024,-3.087,,0.0,0.0
own,SQHC_ALIAD_1_631_0,100,1.0,1.0,0.31239642490724623,7.021539342433844,-0.5116512,0.96,0.12,0.7,-10.4205,-10.154879999999999,-9.8275,-9.523900000000003,0.020202020202020204,0.0,1.0,2127.9507202553677,0.06493151514407451,100,0.99,0.7954201128519751,0.71,,-11.36,-11.395,,0.0,0.0
own,GRK4_HUMAN_1_578_0,100,1.0,1.0,0.4809875809110071,7.00720849342316,0.37943639999999995,1.0,0.0,0.94,-6.4704999999999995,-6.39762,-6.734500000000001,-6.586630000000001,0.18,0.0,1.0,926.5746982316978,0.11491332790784645,100,0.83,0.5743502535560127,0.4,,-6.741,-6.829,,0.0,0.0
own,NEP_HUMAN_54_750_0,100,1.0,1.0,0.43147824497653997,7.121232748336037,-0.6025839,1.0,0.44,1.0,-7.6754999999999995,-7.89448,-7.8155,-7.996439999999999,0.12121212121212122,0.04,0.98,1013.1309759247442,0.06081766303232014,100,0.96,0.8165825764337877,0.66,,-8.689,-8.651,,0.0,0.0
own,KS6A3_HUMAN_41_357_0,100,1.0,1.0,0.46437922874322224,7.135038880631291,0.4550098999999998,1.0,0.0,0.95,-9.692,-9.80058,-9.649000000000001,-9.754159999999999,0.34,0.0,1.0,860.4741817403426,0.12341582865467401,100,0.54,0.37868242630502835,0.17,,-8.532,-8.596,,0.0,0.0
own,PA2B8_DABRR_1_121_0,100,1.0,1.0,0.49690445611095674,6.807319943911282,-0.14684580000000003,1.0,0.49,0.97,-2.6305,-2.7014599999999995,-2.9575,-2.95334,0.16,0.0,1.0,1194.5787100123257,0.041903287709290735,100,0.99,0.8890162136566406,0.84,,-3.9,-3.872,,0.0,0.0
own,CAT_ECOLX_1_219_0,100,1.0,1.0,0.546249580821093,6.117030712441714,1.0133208999999999,1.0,1.0,1.0,-6.180999999999999,-6.262929999999999,-6.3695,-6.37957,0.38,0.0,1.0,468.1789911036106,0.1572553457482465,100,0.24,0.28628000435850554,0.12,,-6.342,-6.328,,0.0,0.0
own,CONA_CANCT_1_237_0,100,1.0,1.0,0.5547927254970756,6.133189566745005,-0.059051400000000115,1.0,0.89,0.9,-5.181,-5.07048,-5.526,-5.429500000000001,0.71,0.0,1.0,435.81472168844846,0.1236039424960007,100,0.38,0.4174874765505592,0.33,,-5.215,-5.254,,0.0,0.0
own,MCCF_ECOLX_1_344_0,100,1.0,1.0,0.3112734690428626,6.953825912198011,-1.2880355999999997,0.99,0.06,0.93,,,,,0.12244897959183673,0.0,1.0,1359.8668301902917,0.06897823663601325,100,1.0,0.8698570522973152,0.94,,,,,0.0,0.0
own,POL_FOAMV_861_1060_0,100,1.0,1.0,0.4194321487978793,7.104346642000382,0.4920557000000002,1.0,0.57,0.97,,,,,0.04,0.0,1.0,1584.1824828585816,0.04936080517563059,100,1.0,0.8912191954824418,1.0,,,,,0.0,0.0
own,UPPS_ECOLI_1_253_0,100,1.0,1.0,0.6236545212224484,6.9723514239036755,0.7707446000000003,1.0,0.94,0.98,-6.555,-6.63463,-6.6195,-6.694270000000001,0.5612244897959183,0.0,1.0,305.5510979318476,0.03446144198719849,100,0.88,0.8738507573571677,0.77,,-7.711,-7.736,,0.0,0.0
own,IMA1_HUMAN_68_497_0,100,1.0,1.0,0.4173993113980808,6.489356313611447,-0.7872931,1.0,0.68,0.9,,,,,0.09,0.0,1.0,1059.4613348528642,0.01801869165043187,100,1.0,0.8854477131487584,0.76,,,,,0.0,0.0
own,DFPA_LOLVU_2_314_0,100,1.0,1.0,0.6211259748828113,7.347478806204225,0.8626002999999995,1.0,0.99,1.0,-6.031,-5.910260000000001,-6.1885,-6.07777,0.8,0.0,1.0,178.57023469559545,0.11316115881890061,100,0.21,0.30381745366724433,0.17,,-6.005,-5.998,,0.0,0.0
own,PNTM_STRAE_2_398_0,100,1.0,1.0,0.5547345277724463,7.062890932697119,-0.08370300000000017,1.0,0.99,1.0,,,,,0.39,0.0,1.0,532.2630854070751,0.08518647667860403,100,0.82,0.7808941951409334,0.75,,,,,0.0,0.0
own,M3K14_HUMAN_321_678_0,100,1.0,1.0,0.5505316426011779,7.0968665767965184,-0.04851220000000006,1.0,0.97,1.0,-7.7940000000000005,-7.484850000000002,-7.3870000000000005,-6.99947,0.35051546391752575,0.01,0.99,594.9554397617205,0.08130190830719661,100,0.69,0.7620529649772081,0.61,,-4.781,-4.766,,0.0,0.0
own,F16P1_HUMAN_1_338_0,100,1.0,1.0,0.4594432530917599,7.058263911794233,-0.023112200000000048,1.0,0.91,0.99,-6.1995000000000005,-6.27604,-6.2524999999999995,-6.338599999999999,0.04,0.0,1.0,2099.56242679239,0.05408670430228451,100,1.0,0.9063359135047019,0.898989898989899,,-7.793,-7.678,,0.0,0.0
own,NOS3_HUMAN_65_480_0__4kcq_A_rec,100,1.0,1.0,0.47385031716266257,7.043341915005962,0.6096761000000004,1.0,0.59,1.0,-4.9875,-5.21842,-5.009,-5.191159999999999,0.13,0.0,1.0,989.9981382315439,0.029188712216475513,100,1.0,0.8964516752694917,0.91,,-5.3,-5.43,,0.0,0.0
own,ATS5_HUMAN_262_480_0,100,1.0,1.0,0.4828736090100689,7.11345412465908,-0.4995572,1.0,0.83,1.0,-7.165,-6.996179999999998,-7.1185,-7.185049999999999,0.16,0.03,0.99,1081.6827803893066,0.046132715195260736,100,0.98,0.8324619167729952,0.89,,-7.591,-7.975,,0.0,0.0
own,DHAK_ECOLI_1_356_0,100,1.0,1.0,0.45084092794169406,6.563378963559729,-0.5143428,1.0,0.98,1.0,-3.3875,-3.33108,-3.5294999999999996,-3.4357199999999994,0.46,0.0,1.0,303.08160034863033,0.07278017130601339,100,0.95,0.871730965908109,0.44,,-2.459,-2.478,,0.0,0.0
