model,target_id,n_generated,validity,connected,qed_mean,sa_mean,logp_mean,lipinski_frac,veber_frac,pains_free_frac,vina_score_median,vina_score_mean,pb_valid_rate,clash_mean,clash_free_rate,strain_median,tanimoto_ref_mean,div_n_valid,div_uniqueness,div_internal_diversity,div_scaffold_diversity,div_novelty,ref_vina_score,ref_vina_min,ref_vina_dock,hit_rate,hit_scaffold_unique_rate
own,CD38_HUMAN_44_300_0,100,1.0,1.0,0.40284372644914085,6.7457082802863315,-0.24043260000000008,0.99,0.01,0.87,-6.8815,-6.76431,0.030303030303030304,0.0,1.0,1396.2091528579408,0.05517792680484437,100,0.68,0.6559700731886658,0.44,,-9.943,,,0.0,0.0
own,HDAC8_HUMAN_1_377_0,100,1.0,1.0,0.4145279370567959,7.08104082801588,-0.11677300000000006,1.0,0.87,0.97,,,0.020202020202020204,0.21,0.87,2255.4193676850423,0.026337483292627136,100,1.0,0.8943608130238064,0.69,,,,,0.0,0.0
own,PA21B_PIG_23_146_0,100,1.0,1.0,0.5869897453647632,6.543682761227145,0.3241593,1.0,0.97,0.99,,,0.5154639175257731,0.0,1.0,716.0855388707746,0.059824433683609735,100,0.83,0.6129016194054462,0.58,,,,,0.0,0.0
own,P2Y12_HUMAN_1_342_0,100,1.0,1.0,0.3902355362932967,7.101770925333567,0.558125,1.0,0.5,0.98,-6.037,-5.068440000000001,0.04081632653061224,0.96,0.62,2141.268249914394,0.05281287902084083,100,1.0,0.8960209057390145,0.84,,-10.428,,,0.0,0.0
own,DIDH_RAT_1_319_0,100,1.0,1.0,0.6204346581388296,7.331943495335893,0.6806441,1.0,0.96,0.98,-6.0885,-6.352660000000002,0.13402061855670103,0.02,0.99,974.241218224501,0.05213755604827921,100,0.94,0.8804222669360001,0.91,,-8.816,,,0.0,0.0
own,GSTP1_HUMAN_2_210_0,100,1.0,1.0,0.6980457123767377,6.401353002965859,1.0817412999999998,1.0,0.68,0.35,-6.659000000000001,-6.661309999999999,0.14,0.0,1.0,338.79769177304047,0.10909514560407586,100,0.07,0.14124636663609913,0.07,,-7.102,,,0.0,0.0
own,BSD_ASPTE_1_130_0,100,1.0,1.0,0.4344701927387431,6.484390865720405,-1.1415163,1.0,0.22,0.73,,,0.010309278350515464,1.06,0.77,2970.5286837421754,0.059590922807033445,100,1.0,0.8740337138760851,0.93,,,,,0.0,0.0
own,PLCD1_RAT_134_756_0,100,1.0,1.0,0.6128652489284995,5.3856768316602,0.4457207,1.0,0.0,0.72,-4.574,-4.568160000000001,0.16,0.0,1.0,856.8660551347808,0.12141935193090614,100,0.22,0.3493837994716681,0.16,,-5.501,,,0.0,0.0
own,BGAT_HUMAN_63_353_0,100,1.0,1.0,0.4304510244960705,6.368607777009196,-1.1091909000000002,1.0,0.35,0.9,,,0.03,0.0,1.0,1586.7854750601482,0.07795145392524656,100,1.0,0.8232228779834592,0.83,,,,,0.0,0.0
own,UBE2T_HUMAN_1_156_0,100,1.0,1.0,0.5624108903618709,7.058134261023427,0.7016342,1.0,1.0,0.99,-3.706,-3.5869899999999997,0.5,0.03,0.98,284.4199058979992,0.08876942774209581,100,0.44,0.705045878391596,0.32,,-4.231,,,0.0,0.0
own,PYRD_TRYCC_2_314_catalytic_0__3w83_B_rec,100,1.0,1.0,0.458402268019413,6.710364463576571,0.054110599999999946,1.0,1.0,0.99,-3.0164999999999997,-3.0739099999999997,0.6464646464646465,0.0,1.0,237.78468207058626,0.06571703493788926,100,0.91,0.893007287501465,0.52,,-2.969,,,0.0,0.0
own,ROCO4_DICDI_1009_1292_0,100,1.0,1.0,0.38127153426615573,7.244979274804743,0.46570090000000003,1.0,0.0,0.96,,,0.06060606060606061,0.01,0.99,1583.31385575919,0.10991371382390992,100,0.92,0.6258126886438835,0.52,,,,,0.0,0.0
