model,target_id,n_generated,validity,connected,qed_mean,sa_mean,logp_mean,lipinski_frac,veber_frac,pains_free_frac,vina_score_median,vina_score_mean,vina_min_median,vina_min_mean,vina_dock_median,vina_dock_mean,pb_valid_rate,clash_mean,clash_free_rate,strain_median,tanimoto_ref_mean,div_n_valid,div_uniqueness,div_internal_diversity,div_scaffold_diversity,div_novelty,ref_vina_score,ref_vina_min,ref_vina_dock,hit_rate,hit_scaffold_unique_rate
own,PAK4_HUMAN_291_591_ATP_0,100,1.0,1.0,0.7134565958211684,7.3587620206120485,-0.005564100000000029,1.0,1.0,1.0,-6.8095,-6.547599999999997,-7.32,-6.86841,-7.5885,-7.302299999999999,0.79,0.0,1.0,355.0907804427747,0.1037431651994976,100,0.32,0.4715686811073483,0.13,,-7.77,-7.668,-7.782,0.0,0.0
own,AROE_THET8_1_263_0,100,1.0,1.0,0.4256355269476269,6.471222378803914,0.04122799999999995,1.0,0.94,0.98,-2.277,1.2222727272727272,-4.436,-4.123656565656566,-5.799,-5.850313131313129,0.12,2.1,0.46,977.4719266582367,0.060487929339772054,100,0.99,0.8888325493453543,0.54,,-5.533,-5.587,-6.263,0.0,0.0
own,TNKS1_HUMAN_1099_1319_0,100,1.0,1.0,0.43279805997547377,7.123049513112078,-0.06565110000000003,1.0,0.87,0.98,-3.7535,-1.9291,-5.6739999999999995,-5.4883500000000005,-6.9615,-7.32284,0.02,0.95,0.67,1729.043374016028,0.038563146066772094,100,1.0,0.899858059863153,0.77,,-15.025,-14.989,-15.789,0.0,0.0
own,P2Y12_HUMAN_1_342_0,100,1.0,1.0,0.4772066577862887,7.023953385038746,-0.07140230000000006,1.0,0.91,1.0,-0.9545,1.5241699999999994,-4.631,-4.221750000000001,-7.289,-7.41421,0.22,2.35,0.24,922.5055315460623,0.04067183357647409,100,1.0,0.8967898425872104,0.79,,-10.428,-10.513,-10.714,0.0,0.0
own,CDK6_HUMAN_1_312_0__2f2c_B_rec,100,1.0,1.0,0.6292908611936638,6.495937277656419,0.7294427,1.0,1.0,0.59,-7.0625,-6.94857,-7.390499999999999,-7.257230000000001,-8.782499999999999,-8.651810000000001,0.56,0.02,0.98,182.14159273757699,0.08082575066348556,100,0.77,0.7762762015684933,0.72,,-7.547,-7.523,-8.789,0.0,0.0
own,NQO1_HUMAN_2_274_0__1gg5_A_rec,100,1.0,1.0,0.5092102091413829,7.113527140824365,0.4717260999999999,1.0,0.96,0.96,-2.173,-1.68129,-4.837,-4.77283,-8.493500000000001,-8.412030000000001,0.07,0.71,0.59,970.0434799383047,0.0556369559219278,100,1.0,0.8945914831179931,0.91,,-5.798,-5.741,-8.509,0.0,0.0
own,SIR3_HUMAN_117_398_0,100,1.0,1.0,0.47863942178874025,7.079764706489086,0.3788346,1.0,0.96,0.98,,,,,,,0.07,0.47,0.75,1388.8373864160321,0.04071636043237171,100,1.0,0.9070460604048878,0.76,,,,,0.0,0.0
own,NOS3_HUMAN_65_480_0__1rs9_A_rec,100,1.0,1.0,0.44026283308324343,6.963062234036662,0.005529499999999982,1.0,0.97,1.0,-1.101,1.6212599999999997,-3.4844999999999997,-3.4354800000000005,-5.802,-5.6666300000000005,0.12,1.38,0.55,880.5942783355388,0.01707798686846062,100,1.0,0.9239811129968472,0.66,,-3.024,-3.087,-3.746,0.0,0.0
own,RG1_RAUSE_1_513_0,100,1.0,1.0,0.4145851690236991,6.6111967089242505,-0.5012823000000001,1.0,0.8,0.96,-2.3485,-1.9616100000000003,-4.843500000000001,-4.77176,-6.5809999999999995,-6.71171,0.28,0.68,0.58,802.3462068139764,0.056083780994351205,100,1.0,0.8927519711820653,0.58,,-8.156,-8.283,-9.306,0.0,0.0
own,PYRD_TRYCC_2_314_catalytic_0__2e6d_A_rec,100,1.0,1.0,0.40524038172932925,6.702065362803802,0.05021519999999998,1.0,0.99,0.99,1.5539999999999998,2.7591300000000003,-3.631,-3.58922,-5.481,-5.66605,0.12,2.12,0.21,695.4159016589666,0.06341436118437116,100,1.0,0.9056629982450447,0.56,,-4.835,-4.8,-4.976,0.01,0.01
