model,target_id,n_generated,validity,connected,qed_mean,sa_mean,logp_mean,lipinski_frac,veber_frac,pains_free_frac,pb_valid_rate,clash_mean,clash_free_rate,strain_median,tanimoto_ref_mean,div_n_valid,div_uniqueness,div_internal_diversity,div_scaffold_diversity,div_novelty,ref_vina_score,ref_vina_min,ref_vina_dock,hit_rate,hit_scaffold_unique_rate,vina_score_median,vina_score_mean,vina_min_median,vina_min_mean
own,TNKS2_HUMAN_948_1162_0,100,1.0,1.0,0.41463411060706873,7.211670701367348,0.544041,1.0,0.68,0.95,0.030612244897959183,0.16,0.97,3187.4807541278533,0.05711767936253475,100,1.0,0.9009527057279847,0.97,,-12.255,-12.212,,0.0,0.0,-9.099,-9.08795,-9.092,-8.90775
own,OLIAC_CANSA_1_101_0,100,1.0,1.0,0.5562585391430683,6.952507626677877,0.4198510999999999,1.0,1.0,1.0,0.3469387755102041,0.0,1.0,537.7540824269528,0.06122397793646856,100,1.0,0.8099196567067808,0.76,,,,,0.0,0.0,,,,
own,GRK4_HUMAN_1_578_0,100,1.0,1.0,0.4809875809110071,7.00720849342316,0.37943639999999995,1.0,0.0,0.94,0.2,0.0,1.0,884.451739656452,0.11491332790784645,100,0.83,0.5743502535560127,0.4,,-6.741,-6.829,,0.0,0.0,-6.080500000000001,-6.070010000000001,-6.3774999999999995,-6.4040300000000006
own,SDIA_ECOLI_1_171_0,100,1.0,1.0,0.5118531010416627,6.929392847474078,-0.5712809,1.0,0.92,0.99,0.2708333333333333,0.0,1.0,792.6844164669899,0.052615728699570485,100,0.99,0.848651705545128,0.72,,-5.641,-5.766,,0.0,0.0,-7.2265,-7.476199999999998,-7.125,-7.4340899999999985
own,Y635_MYCTU_1_158_0,100,1.0,1.0,0.5497587136661254,7.136202347065949,0.5386157,1.0,0.89,0.98,0.1326530612244898,0.0,1.0,1036.2073657709302,0.04744151348501457,100,1.0,0.8976731897240665,0.95,,-8.665,-8.632,,0.0,0.0,-8.2015,-8.232500000000002,-8.1785,-8.11033
own,PHKG1_RABIT_6_296_ATPsite_0,100,1.0,1.0,0.44749198532072837,7.172171414657816,0.7222196,1.0,0.0,0.99,0.16,0.0,1.0,932.463165513496,0.11028220874493216,100,0.79,0.423407717874264,0.32,,-7.398,-7.99,,0.0,0.0,-7.719,-7.8009699999999995,-8.125,-8.130590000000002
own,PYRD_TRYCC_2_314_catalytic_0__3w83_B_rec,100,1.0,1.0,0.4746620990888063,6.922752380567525,0.33473099999999995,1.0,0.98,0.96,0.42424242424242425,0.02,0.98,443.8335660517432,0.03729572946587835,100,0.75,0.8846569123746089,0.7,,-2.969,-3.129,,0.0,0.0,-4.6715,-4.70743,-5.075,-5.128829999999999
own,MCCF_ECOLX_1_344_0,100,1.0,1.0,0.3112734690428626,6.953825912198011,-1.2880355999999997,0.99,0.06,0.93,0.13,0.0,1.0,1312.7124020403771,0.06897823663601325,100,1.0,0.8698570522973152,0.94,,,,,0.0,0.0,,,,
own,POL_FOAMV_861_1060_0,100,1.0,1.0,0.3482311879482672,7.139672878604615,0.3147511000000003,1.0,0.41,0.96,0.05154639175257732,0.0,1.0,1837.559020214002,0.046124131736857574,100,1.0,0.8917174588357267,0.97,,,,,0.0,0.0,,,,
own,CAT_ECOLX_1_219_0,100,1.0,1.0,0.545276508808357,6.0878925469404495,1.0246654999999998,1.0,1.0,1.0,0.35,0.0,1.0,453.4115051943676,0.15916867997421225,100,0.21,0.2543136847634867,0.09,,-6.342,-6.328,,0.0,0.0,-6.0855,-6.01089,-6.2605,-6.258310000000002
