model,target_id,n_generated,validity,connected,qed_mean,sa_mean,logp_mean,lipinski_frac,veber_frac,pains_free_frac,pb_valid_rate,clash_mean,clash_free_rate,strain_median,tanimoto_ref_mean,div_n_valid,div_uniqueness,div_internal_diversity,div_scaffold_diversity,div_novelty,ref_vina_score,ref_vina_min,ref_vina_dock,hit_rate,hit_scaffold_unique_rate,vina_score_median,vina_score_mean,vina_min_median,vina_min_mean
own,CHIB_SERMA_1_499_0__1h0i_A_rec,100,1.0,1.0,0.48153101695349126,7.015116672808992,-0.6300417,1.0,0.94,0.99,0.011235955056179775,0.04,0.98,4132.916290888154,0.04388212455508864,100,1.0,0.8972711078475614,0.93,,,,,0.0,0.0,,,,
own,PNTM_STRAE_2_398_0,100,1.0,1.0,0.5538428181663042,7.0621018738544,-0.08324570000000019,1.0,0.98,1.0,0.05,0.0,1.0,1078.8973574318834,0.08626248667824887,100,0.79,0.7770137581171741,0.73,,,,,0.0,0.0,,,,
own,RIBB_VIBCH_2_218_0,100,1.0,1.0,0.45362193116327204,5.798927628268129,0.03272149999999995,1.0,0.15,0.99,0.0,0.0,1.0,6638.604633848912,0.11866065582652344,100,0.48,0.5473105470399153,0.17,,,,,0.0,0.0,,,,
own,NQO1_HUMAN_2_274_0__1dxo_C_rec,100,1.0,1.0,0.4182792140120467,6.551859945664407,-0.7659309000000001,1.0,0.29,0.85,0.08080808080808081,0.0,1.0,1525.2099127230385,0.05274862448502451,100,1.0,0.858796257551778,0.83,,-3.341,-3.251,,0.0,0.0,-1.986,-2.0931699999999998,-3.125,-3.19654
own,CHIA_SERMA_19_563_0,100,1.0,1.0,0.4579848647406359,7.007409237093789,0.6103656000000001,1.0,1.0,0.95,0.11,0.06,0.99,1921.5298624276209,0.012031338817732566,100,1.0,0.9098400757204563,0.61,,,,,0.0,0.0,,,,
own,DFPA_LOLVU_2_314_0,100,1.0,1.0,0.5553201046872873,7.359989491478505,0.8105622999999997,1.0,0.96,0.98,0.04,0.0,1.0,1598.6763681791422,0.0729080749674833,100,1.0,0.8075384669353765,0.85,,-6.005,-5.998,,0.0,0.0,-6.0465,-5.785150000000001,-6.0805,-5.941739999999999
own,TIAM1_HUMAN_840_931_0,100,1.0,1.0,0.44921204090964145,6.3333100807495155,-0.8860555999999999,1.0,0.3,0.9,0.06,0.0,1.0,1774.077793300223,0.0379828872845092,100,1.0,0.853967941021133,0.77,,-3.822,-3.764,,0.0,0.0,-2.356,-2.3136900000000002,-2.9905,-2.9119299999999995
own,P2Y12_HUMAN_1_342_0,100,1.0,1.0,0.39442738445249853,7.126984322711533,0.5976704,1.0,0.52,0.96,0.010101010101010102,0.02,0.98,9115.664253423245,0.05190493164505686,100,1.0,0.8959418105293474,0.88,,-10.428,-10.513,,0.0,0.0,-6.726,-6.7784,-6.508,-6.7158999999999995
own,CPXB_BACMB_2_464_0,100,1.0,1.0,0.5205950564432311,7.146974377355086,0.8843107,1.0,0.85,1.0,0.04,0.0,1.0,2759.7702475244273,0.045822938808011256,100,1.0,0.8738839045430056,0.75,,-6.203,-6.176,,0.0,0.0,-7.0595,-7.0806,-7.341,-7.326499999999999
own,ACE_HUMAN_650_1230_0,100,1.0,1.0,0.450646655691694,6.719358307592927,0.3162297999999999,1.0,0.94,1.0,0.15,0.18,0.9,3619.997969393232,0.07137681789487861,100,0.87,0.8604070311525489,0.61,,-4.487,-4.446,,0.0,0.0,-3.6515,-3.5046799999999996,-4.0,-3.7978199999999998
own,BAZ2A_HUMAN_1795_1898_0,100,1.0,1.0,0.5354155402503644,7.114081911721686,0.1695048999999999,1.0,0.91,0.96,0.0,0.02,0.99,2428.167633777621,0.05666496541780594,100,0.91,0.894735371588486,0.8484848484848485,,-4.114,-4.138,,0.0,0.0,-4.4855,-4.49178,-4.578,-4.5546299999999995
own,BTRN_BACCI_2_250_0,100,1.0,1.0,0.5264830599770095,6.81242813683667,-1.1918150000000003,1.0,0.06,0.97,0.010309278350515464,0.0,1.0,4218.257930078162,0.08989112123121515,100,0.75,0.5778807681282823,0.36,,-8.326,-8.494,,0.0,0.0,-7.1259999999999994,-6.97694,-6.9785,-6.825400000000002
own,CD38_HUMAN_44_300_0,100,1.0,1.0,0.40284372644914085,6.7457082802863315,-0.24043260000000008,0.99,0.01,0.87,0.0,0.0,1.0,3844.5518437553073,0.05517792680484437,100,0.68,0.6559700731886658,0.44,,-9.943,-9.841,,0.0,0.0,-7.261,-7.08712,-7.2330000000000005,-7.04229
own,BACE2_HUMAN_76_460_0,100,1.0,1.0,0.3573180141746883,6.8983250944350765,0.5065123000000002,1.0,0.48,0.96,0.09,0.0,1.0,1602.281693627541,0.046081572522410734,100,0.88,0.7701604485759631,0.84,,,,,0.0,0.0,,,,
own,PHP_SULSO_1_314_0,100,1.0,1.0,0.42157033896646356,6.9512113654910594,0.3892838999999999,1.0,0.64,1.0,0.20202020202020202,0.0,1.0,1658.376791147101,0.03560094544288749,100,1.0,0.8222859094229378,0.42,,,,,0.0,0.0,,,,
own,NOS1_HUMAN_302_723_0__4d7o_A_rec,100,1.0,1.0,0.45530589797535576,6.93030464094381,-0.34076379999999995,1.0,0.48,0.93,0.03125,0.0,1.0,3567.4606699990763,0.021847295788020093,100,1.0,0.8852992437660265,0.97,,-5.881,-6.164,,0.0,0.0,-4.0440000000000005,-4.1512400000000005,-4.329000000000001,-4.3951400000000005
own,QPCT_HUMAN_33_361_0,100,1.0,1.0,0.45589107487258795,6.450233306389247,-0.9553155,1.0,1.0,0.98,0.10526315789473684,0.0,1.0,1081.2721842995309,0.020509571014623505,100,0.56,0.7222588363681927,0.48,,-5.434,-5.419,,0.0,0.0,-3.8135000000000003,-3.8391200000000003,-4.3645,-4.28051
own,PAK4_HUMAN_291_591_ATP_0,100,1.0,1.0,0.7706927171826972,7.446898554012128,-0.051895800000000006,1.0,1.0,1.0,0.98,0.0,1.0,300.64009004417335,0.11879968701095463,100,0.04,0.2078868915145864,0.04,,-7.77,-7.668,,0.0,0.0,-7.3345,-7.307939999999999,-7.63,-7.613440000000001
own,BAPA_SPHXN_30_402_0,100,1.0,1.0,0.5035189692481008,7.041909321667126,0.22298539999999992,1.0,0.66,0.91,0.0,0.17,0.95,5451.8456821781765,0.04584202611137782,100,0.97,0.9048798151991029,0.9,,,,,0.0,0.0,,,,
own,ATS5_HUMAN_262_480_0,100,1.0,1.0,0.4828736090100689,7.11345412465908,-0.4995572,1.0,0.83,1.0,0.010416666666666666,0.03,0.99,4187.7632068167895,0.046132715195260736,100,0.98,0.8324619167729952,0.89,,-7.591,-7.975,,0.0,0.0,-6.692,-6.497159999999999,-6.8415,-6.7572399999999995
own,TNKS2_HUMAN_948_1162_0,100,1.0,1.0,0.41463411060706873,7.211670701367348,0.544041,1.0,0.68,0.95,0.010309278350515464,0.26,0.97,6819.625452494738,0.05711767936253475,100,1.0,0.9009527057279847,0.97,,-12.255,-12.212,,0.0,0.0,-8.223,-8.107599999999998,-7.752,-7.74289
own,OLIAC_CANSA_1_101_0,100,1.0,1.0,0.5562585391430683,6.952507626677877,0.4198510999999999,1.0,1.0,1.0,0.07216494845360824,0.0,1.0,1757.5462349485524,0.06122397793646856,100,1.0,0.8099196567067808,0.76,,,,,0.0,0.0,,,,
own,GRK4_HUMAN_1_578_0,100,1.0,1.0,0.4809875809110071,7.00720849342316,0.37943639999999995,1.0,0.0,0.94,0.06,0.0,1.0,1408.2205410941774,0.11491332790784645,100,0.84,0.5743502535560127,0.4,,-6.741,-6.829,,0.0,0.0,-6.352,-6.38824,-6.689,-6.6173
own,SDIA_ECOLI_1_171_0,100,1.0,1.0,0.5118531010416627,6.929392847474078,-0.5712809,1.0,0.92,0.99,0.02,0.0,1.0,2323.656871761878,0.052615728699570485,100,0.99,0.848651705545128,0.72,,-5.641,-5.766,,0.0,0.0,-6.7255,-6.70651,-6.723,-6.784439999999998
own,Y635_MYCTU_1_158_0,100,1.0,1.0,0.5497587136661254,7.136202347065949,0.5386157,1.0,0.89,0.98,0.0,0.14,0.98,3353.4753969932804,0.04744151348501457,100,1.0,0.8976731897240665,0.95,,-8.665,-8.632,,0.0,0.0,-7.308,-7.26874,-7.291,-7.24887
own,PHKG1_RABIT_6_296_ATPsite_0,100,1.0,1.0,0.44749198532072837,7.172171414657816,0.7222196,1.0,0.0,0.99,0.02,0.0,1.0,1558.8852786427105,0.11028220874493216,100,0.77,0.423407717874264,0.32,,-7.398,-7.99,,0.0,0.0,-7.99,-7.975210000000001,-8.280000000000001,-8.289810000000001
own,PYRD_TRYCC_2_314_catalytic_0__3w83_B_rec,100,1.0,1.0,0.4746620990888063,6.922752380567525,0.33473099999999995,1.0,0.98,0.96,0.12121212121212122,0.02,0.98,1104.367033526274,0.03729572946587835,100,0.75,0.8846569123746089,0.7,,-2.969,-3.129,,0.0,0.0,-4.477,-4.37024,-4.7645,-4.782990000000001
own,MCCF_ECOLX_1_344_0,100,1.0,1.0,0.3112734690428626,6.953825912198011,-1.2880355999999997,0.99,0.06,0.93,0.020202020202020204,0.0,1.0,3624.099061130232,0.06897823663601325,100,1.0,0.8698570522973152,0.94,,,,,0.0,0.0,,,,
own,POL_FOAMV_861_1060_0,100,1.0,1.0,0.3482311879482672,7.139672878604615,0.3147511000000003,1.0,0.41,0.96,0.0,0.0,1.0,5195.88444064641,0.046124131736857574,100,1.0,0.8917174588357267,0.97,,,,,0.0,0.0,,,,
own,CAT_ECOLX_1_219_0,100,1.0,1.0,0.545276508808357,6.0878925469404495,1.0246654999999998,1.0,1.0,1.0,0.05,0.0,1.0,1551.9128378893943,0.15916867997421225,100,0.21,0.2543136847634867,0.09,,-6.342,-6.328,,0.0,0.0,-6.1675,-6.138340000000002,-6.3420000000000005,-6.32968
own,TNKS1_HUMAN_1099_1319_0,100,1.0,1.0,0.28333542395478245,7.245761287916061,0.1766200000000002,1.0,0.29,0.94,0.0,0.02,0.99,7854.755800089452,0.04835778635532968,100,1.0,0.8974241998044391,0.96,,-15.025,-14.989,,0.0,0.0,-8.118500000000001,-8.389990000000001,-8.094999999999999,-8.285580000000003
own,AK1BA_HUMAN_1_316_0,100,1.0,1.0,0.5265927850173032,7.095737863523999,0.5000896000000001,1.0,1.0,0.68,0.13,0.0,1.0,536.9122272844255,0.07053569825848932,100,0.37,0.4571949592167476,0.36,,,,,0.0,0.0,,,,
own,LMBL1_HUMAN_198_526_0__2rhy_A_rec,100,1.0,1.0,0.37744605906217177,6.663165947316315,-1.0040416,1.0,0.99,0.98,0.11,0.0,1.0,688.7856375393094,0.05251744050910725,100,0.75,0.8211331797509509,0.35,,-2.888,-2.816,,0.0,0.0,-2.895,-2.7478,-3.089,-3.0404899999999997
own,NPD_THEMA_1_246_0,100,1.0,1.0,0.48318158120239835,6.585025747755915,-0.8344839000000001,1.0,0.35,0.86,0.0,0.0,1.0,4259.2588593894425,0.04984467614926208,100,0.99,0.8701948248007124,0.92,,,,,0.0,0.0,,,,
own,SIR3_HUMAN_117_398_0,100,1.0,1.0,0.5053707944778136,7.179254673913813,0.3865212000000001,1.0,0.82,0.97,0.0,0.0,1.0,3419.7076614524235,0.056126227903300435,100,1.0,0.9010433432820232,0.98,,,,,0.0,0.0,,,,
own,PPIA_HUMAN_1_165_0,100,1.0,1.0,0.522907303023193,7.206587123490838,-0.33454439999999996,1.0,0.88,0.99,0.13131313131313133,0.01,0.99,1277.93432416291,0.06614295437126347,100,0.87,0.8154913280107793,0.7171717171717171,,-5.686,-5.88,,0.0,0.0,-5.8795,-5.703670000000001,-6.119,-6.0784
own,ODBB_THET8_1_324_0,100,1.0,1.0,0.5627969067507369,7.283988556573156,1.8997949999999995,1.0,0.05,0.99,0.0,0.02,0.99,8414.359769451996,0.10156629697817193,100,0.43,0.39420294508654996,0.16,,-9.046,-9.036,,0.0,0.0,-9.525,-9.194989999999999,-9.6395,-9.350170000000002
own,DYRK2_HUMAN_145_550_0,100,1.0,1.0,0.5588468026013063,7.037230894641868,2.0530942,1.0,0.99,0.99,0.44,0.0,1.0,539.2024697327442,0.08760039090235655,100,0.31,0.5178600727937286,0.21,,-8.83,-8.824,,0.0,0.0,-8.7545,-8.69246,-9.129,-9.04164
own,MURA_ECOLI_1_419_catalytic_0,100,1.0,1.0,0.5292671976888704,6.333314415254426,-0.9317036000000001,1.0,0.05,0.94,0.04040404040404041,0.0,1.0,4157.497705584883,0.09428077444399058,100,0.82,0.75050405480823,0.78,,-6.997,-7.012,,0.0,0.0,-5.776,-5.649050000000001,-5.55,-5.703029999999999
own,SQHC_ALIAD_1_631_0,100,1.0,1.0,0.31239642490724623,7.021539342433844,-0.5116512,0.96,0.12,0.7,0.0,0.01,0.99,7836.58827651494,0.06493151514407451,100,0.99,0.7954201128519751,0.71,,-11.36,-11.395,,0.0,0.0,-8.241,-8.021419999999999,-7.4965,-7.734269999999999
own,HDHA_ECOLI_1_255_0,100,1.0,1.0,0.4860991208954318,6.9200427924873384,-0.9860082999999997,1.0,0.53,0.98,0.030303030303030304,0.02,0.98,5344.217702030866,0.06017424860660689,100,1.0,0.8910538132146579,0.898989898989899,,-9.723,-9.795,,0.0,0.0,-5.8495,-5.859159999999998,-5.711,-5.84505
own,DHAK_ECOLI_1_356_0,100,1.0,1.0,0.46711899282208125,6.904085412129532,-0.10846590000000007,1.0,0.96,1.0,0.16161616161616163,0.29,0.98,8074.6949582367815,0.06445210588086903,100,0.97,0.8831434494945012,0.51,,-2.459,-2.478,,0.0,0.0,-2.7350000000000003,-2.41989,-3.0700000000000003,-2.9096500000000005
own,NR1H4_HUMAN_258_486_0,100,1.0,1.0,0.3460044803237507,7.35895464582997,0.4433108999999999,1.0,0.97,1.0,0.0,0.0,1.0,8485.088017463187,0.12188631831532103,100,0.51,0.4700371805723754,0.39,,,,,0.0,0.0,,,,
