target_id,vina_dock,vina_score,pb_valid,connected,qed,sa,hac,n_arom_rings,strain,clashfree,hit
ABL2_HUMAN_274_551_0,-8.068383838383838,-6.559141414141414,0.5151515151515151,1.0,0.5856797754467685,4.701441452358169,24.303030303030305,0.8787878787878788,387.92638810813514,0.8888888888888888,0.08080808080808081
ACE_HUMAN_650_1230_0,-7.157826530612245,-4.721071428571428,0.5612244897959183,1.0,0.4815897032720246,4.664971665328257,19.255102040816325,0.2653061224489796,375.0067518193853,0.8061224489795918,0.24489795918367346
AK1BA_HUMAN_1_316_0,,,0.5714285714285714,1.0,0.5531268736139028,4.269039713465373,21.928571428571427,0.6020408163265306,327.74454700210504,0.8367346938775511,0.0
AKT1_HUMAN_1_137_0,-9.494969696969697,-7.5886969696969695,0.43434343434343436,1.0,0.39780240329129224,4.873376668207052,29.31313131313131,0.8484848484848485,436.1998867560127,0.9292929292929293,0.0
AROE_THET8_1_263_0,-7.12820202020202,3.6095151515151516,0.5252525252525253,1.0,0.41164477545105516,4.92709215666948,19.545454545454547,0.1717171717171717,498.6285867439884,0.4444444444444444,0.1111111111111111
ATS5_HUMAN_262_480_0,-7.266438775510204,-4.958234693877551,0.673469387755102,1.0,0.4624419569516927,4.284310314626227,19.285714285714285,0.5,256.5735941726241,0.41836734693877553,0.02040816326530612
BACE2_HUMAN_76_460_0,,,0.4742268041237113,1.0,0.39415576652418643,4.991791004928029,26.443298969072163,0.2268041237113402,547.5894371763512,0.8969072164948454,0.0
BAPA_SPHXN_30_402_0,,,0.6354166666666666,1.0,0.49761025694984146,4.50227306458711,20.40625,0.3645833333333333,269.3171394752336,0.84375,0.0
BAZ2A_HUMAN_1795_1898_0,-5.852373737373737,-3.269909090909091,0.71,1.0,0.5780539451831576,3.750010186033934,13.75,0.65,136.30581347927233,0.84,0.28
BGAT_HUMAN_63_353_0,,,0.7171717171717171,1.0,0.49615399839206437,3.821348078197791,11.98989898989899,0.29292929292929293,125.0740405038085,0.8181818181818182,0.0
BGL07_ORYSJ_25_504_0,-8.742887755102041,-5.981112244897959,0.3877551020408163,1.0,0.32115305684443235,4.988145001349573,28.642857142857142,0.2857142857142857,566.9750380516462,0.8571428571428571,0.01020408163265306
BSD_ASPTE_1_130_0,,,0.5053763440860215,1.0,0.531470796606505,4.756862681746432,23.268817204301076,0.5053763440860215,423.16115928713543,0.40860215053763443,0.0
BTRN_BACCI_2_250_0,-9.03478947368421,-7.210284210526315,0.45263157894736844,1.0,0.3872053293380219,5.163657661970743,27.357894736842105,0.49473684210526314,810.0078302474286,0.9157894736842105,0.031578947368421054
