target_id,vina_dock,vina_score,pb_valid,connected,qed,sa,hac,n_arom_rings,strain,clashfree,hit
ABL2_HUMAN_274_551_0,-9.15236,-8.050320000000001,0.8969072164948454,1.0,0.1332093498005329,6.281981319506633,33.0,0.0,1335.8139757232582,1.0,0.0
ACE_HUMAN_650_1230_0,-4.92619,-3.7269400000000004,1.0,1.0,0.27821951178905746,4.105729679543517,9.0,0.0,240.50301859234756,0.99,0.0
AK1BA_HUMAN_1_316_0,,,0.4948453608247423,0.9696969696969697,0.6149768156767229,3.9411456386413093,21.2020202020202,0.010101010101010102,1125.126408562504,0.93,0.0
AKT1_HUMAN_1_137_0,-6.877177083333333,-4.498666666666667,0.05,0.8902439024390244,0.39648116927982774,7.026793701404903,15.512195121951219,0.17073170731707318,1887.2587075556287,0.68,0.0
AROE_THET8_1_263_0,-5.992290000000001,-4.45903,0.95,0.98,0.30276435763986626,4.0171909840041575,12.17,0.0,360.6012257749321,0.95,0.0
ATS5_HUMAN_262_480_0,-6.701787878787878,-3.2172929292929293,0.16842105263157894,0.6701030927835051,0.3787210583761181,6.437458157021338,15.422680412371134,0.05154639175257732,1913.1262697510647,0.43,0.0
BACE2_HUMAN_76_460_0,,,0.29896907216494845,0.5454545454545454,0.29305159416965676,5.984539313863529,22.484848484848484,0.12121212121212122,2123.362163979187,0.58,0.0
BAPA_SPHXN_30_402_0,,,0.25263157894736843,0.6631578947368421,0.4048241182476072,5.80669519083489,14.094736842105263,0.042105263157894736,1581.7159033338132,0.2,0.0
BAZ2A_HUMAN_1795_1898_0,-5.67984,-3.2182999999999997,0.2765957446808511,0.8367346938775511,0.4855035695077687,5.794323517446874,12.744897959183673,0.14285714285714285,1153.0783222073858,1.0,0.08
BGAT_HUMAN_63_353_0,,,0.21428571428571427,0.6020408163265306,0.3178210826161869,5.819945273781507,15.704081632653061,0.0,1635.0666849809254,0.6,0.0
BGL07_ORYSJ_25_504_0,-7.93905,-0.84375,0.23469387755102042,0.6938775510204082,0.3328753626405261,6.109086254251259,20.428571428571427,0.21428571428571427,1549.0413029863744,0.11,0.0
BSD_ASPTE_1_130_0,,,0.27,0.6,0.3178766230448344,5.992976161976127,15.46,0.04,1073.0668909929213,0.06,0.0
BTRN_BACCI_2_250_0,-8.24593,-3.4619299999999997,0.6565656565656566,0.494949494949495,0.18148845328645613,6.007437319591191,21.737373737373737,0.020202020202020204,1198.925758752021,0.5,0.0
CAT_ECOLX_1_219_0,-7.91162,-2.9403,0.51,0.98,0.47926369871988406,5.711874330609955,18.61,0.59,484.976684786272,0.34,0.0
CCPR_YEAST_69_361_0,-6.341670000000001,-2.43634,0.7613636363636364,0.9772727272727273,0.4027127838023652,4.722928773449731,12.056818181818182,0.045454545454545456,439.5397959811721,0.81,0.32
CD38_HUMAN_44_300_0,-8.200438775510204,-0.6228877551020409,0.1875,0.6804123711340206,0.19326025601670158,6.563827953520442,25.010309278350515,0.030927835051546393,1645.613306764596,0.31,0.0
CDK6_HUMAN_1_312_0__2f2c_B_rec,-8.889289999999999,-7.4166300000000005,0.57,0.98,0.4353001811213838,4.644066776807082,20.89,0.0,930.7038840958393,0.84,0.46
CDK6_HUMAN_1_312_0__4aua_A_rec,-6.289840000000001,-3.39879,0.29896907216494845,0.865979381443299,0.3799914224511904,5.908731217604826,14.577319587628866,0.061855670103092786,1226.296432968597,0.85,0.03
CHIA_SERMA_19_563_0,,,0.99,1.0,0.42373527672564976,2.3563436185599493,6.0,0.0,51.985609679672365,1.0,0.0
CHIB1_ASPFM_39_433_0,,,0.5816326530612245,0.99,0.3284356820212386,4.824619466467696,9.81,0.01,282.2707178837953,0.55,0.0
CHIB_SERMA_1_499_0__1h0i_A_rec,,,0.3595505617977528,0.9139784946236559,0.43437059679261425,5.306265907316808,12.451612903225806,0.0,665.7170919984294,0.25,0.0
CHIB_SERMA_1_499_0__4z2g_A_rec,-7.81249,-4.81351,0.54,0.41,0.053600897524359994,6.363160357592196,40.66,0.0,2721.579837536383,1.0,0.0
CHOD_BREST_46_552_0,-7.11771,-2.57704,0.8469387755102041,0.87,0.39574184890797875,4.476995408527088,16.04,0.0,638.5244999080883,0.66,0.0
COAA_MYCTU_1_312_0,-9.19475,-5.45637,0.47474747474747475,0.7777777777777778,0.19131616562433265,6.755837211281562,27.242424242424242,0.15151515151515152,517.5631817472099,0.95,0.0
CONA_CANCT_1_237_0,-5.732559999999999,-3.1371800000000003,0.59,0.74,0.35547687502740183,4.924464343834084,15.74,0.0,1014.9974951135689,0.82,0.01
COTA_BACSU_1_513_0,-5.2735,-0.45443000000000006,0.37755102040816324,0.9494949494949495,0.4469534230820591,5.4486762004939795,14.01010101010101,0.16161616161616163,694.4406764445808,0.62,0.05
CPXB_BACMB_2_464_0,-7.288183673469387,-3.9226326530612248,0.38144329896907214,0.7040816326530612,0.4459163620760388,4.836182944091514,17.43877551020408,0.12244897959183673,1153.1003519188407,0.62,0.09
DFPA_LOLVU_2_314_0,-6.21384,-5.16748,0.79,0.93,0.6680054589080368,4.161758369368628,14.43,0.0,540.483233481707,0.95,0.68
DHAK_ECOLI_1_356_0,-3.63401,-1.36226,0.72,0.88,0.3787394374306613,3.29766557564174,6.69,0.0,158.5142220032132,0.93,0.06
DIDH_RAT_1_319_0,-7.99023,-4.4413800000000005,0.18478260869565216,0.8191489361702128,0.55275078689498,5.779075595306022,18.117021276595743,0.0851063829787234,1433.3560094060856,0.92,0.0
DPO4_SULSO_1_347_0,-4.2004399999999995,-0.25823,0.375,0.7216494845360825,0.3448615084964417,5.293086502790713,11.443298969072165,0.0,761.8982656847228,0.76,0.0
DPP2_HUMAN_27_492_0,-5.5524000000000004,-2.0188900000000003,0.4838709677419355,0.8333333333333334,0.48222170751440707,4.830319577302258,11.875,0.020833333333333332,728.483396057158,0.69,0.18
DYRK2_HUMAN_145_550_0,-9.02182,-7.01338,0.6597938144329897,0.9285714285714286,0.399255115790584,6.147426848711366,23.183673469387756,0.02040816326530612,1321.5993421190885,0.96,0.09
EFTU1_ECOLI_2_178_0,,,0.6464646464646465,0.898989898989899,0.23976965962523927,6.654213969488926,25.505050505050505,0.1414141414141414,414.40997894893826,0.07,0.0
EXG1_CANAL_41_438_0,,,0.9387755102040817,0.7040816326530612,0.35992336033751393,3.965993398531536,12.683673469387756,0.0,216.7080257760416,0.84,0.0
F16P1_HUMAN_1_338_0,-5.8036,-2.61006,0.125,0.7319587628865979,0.42572069567895643,6.298113544193562,13.164948453608247,0.061855670103092786,2207.112597432247,0.59,0.0
FKB1A_HUMAN_2_108_0,-6.694529999999999,-2.7441899999999997,0.14583333333333334,0.625,0.32502236390729233,6.3443437653423205,29.3125,0.4583333333333333,2508.458671526423,0.41,0.0
GLMU_STRPN_2_459_0,-5.26604,-0.7862700000000001,0.3020833333333333,0.6530612244897959,0.4593828450469491,5.30878866993303,10.89795918367347,0.04081632653061224,1178.5133203766675,0.75,0.0
GRK4_HUMAN_1_578_0,-7.24287,-5.39802,0.2857142857142857,0.7755102040816326,0.23189861046910912,6.825980270215624,27.122448979591837,0.3673469387755102,1093.891066630922,0.96,0.0
GSTP1_HUMAN_2_210_0,-8.73997,-6.826499999999999,0.74,1.0,0.36761718181986436,5.1906933102996735,22.0,0.0,814.9804719537333,1.0,0.0
GUX1_HYPJE_18_451_0,,,0.76,0.98,0.7677793658131256,3.6919381981915,18.94,0.0,662.2472523337618,0.96,0.0
HDAC8_HUMAN_1_377_0,,,0.06315789473684211,0.6494845360824743,0.3638436252628446,6.55296288149613,12.329896907216495,0.041237113402061855,2679.430341043178,0.47,0.0
HDHA_ECOLI_1_255_0,-6.55522,2.74464,0.21875,0.7272727272727273,0.38120593228862626,5.71811550398183,17.545454545454547,0.04040404040404041,1448.5131491672005,0.16,0.0
HMD_METJA_1_358_0,-7.6055600000000005,-1.67394,0.3333333333333333,0.6666666666666666,0.19850718472540338,6.608217503886087,28.40625,0.07291666666666667,1467.3400587090393,0.2,0.0
IDHP_HUMAN_40_452_0,,,0.031914893617021274,0.9042553191489362,0.42590346359086595,6.909698215862855,15.48936170212766,0.10638297872340426,2284.6690695601224,0.05,0.0
IMA1_HUMAN_68_497_0,,,0.2604166666666667,0.6770833333333334,0.3819080853401939,5.420389291685925,10.71875,0.0,1079.1378746781982,0.91,0.0
IPMK_HUMAN_49_416_0,,,0.29292929292929293,0.797979797979798,0.3075701174368545,6.833120513218253,24.97979797979798,0.6161616161616161,688.1568085092051,0.62,0.0
KS6A3_HUMAN_41_357_0,-8.86537,-6.79452,0.47959183673469385,0.7857142857142857,0.20352618605761544,6.893529139912225,28.102040816326532,0.23469387755102042,261.48838547677633,0.79,0.0
LAT_MYCTU_1_449_0,-7.05028,-4.85781,0.76,0.97,0.32904520842807705,5.748360138117704,15.77,0.0,519.3740273545529,0.93,0.0
LMBL1_HUMAN_198_526_0__2pqw_A_rec,-5.11768,-0.9448399999999999,0.5816326530612245,0.7575757575757576,0.3686617521260964,4.40616007016085,13.535353535353535,0.0,757.4348562154732,0.67,0.12
LMBL1_HUMAN_198_526_0__2rhy_A_rec,-3.98169,-2.45901,0.38,0.59,0.37157837746640665,3.780232530170286,9.3,0.0,545.903219910897,0.99,0.08
M3K14_HUMAN_321_678_0,-7.10603,-2.02942,0.28421052631578947,0.8842105263157894,0.4222263947771929,6.119136470421029,20.08421052631579,0.12631578947368421,1652.670961558355,0.53,0.07
MCCF_ECOLX_1_344_0,,,0.14,0.71,0.3112966186316638,6.22833819477411,19.44,0.05,1497.7740238621373,0.37,0.0
MENE_BACSU_2_486_0,-8.224838383838383,-3.3012020202020205,0.5319148936170213,0.8631578947368421,0.28403728747043777,6.406217900082524,23.347368421052632,0.28421052631578947,971.4397676063021,0.54,0.0
MURA_ECOLI_1_419_catalytic_0,-7.12346,-0.8356999999999999,0.32653061224489793,0.6632653061224489,0.2942107797399035,5.861013552809091,17.785714285714285,0.061224489795918366,1056.4191103513613,0.25,0.0
NAGZ_VIBCH_1_330_0,-6.20812,-1.824,0.6224489795918368,0.5,0.22866312762664545,4.908981731543975,19.53,0.0,1014.853992008251,0.68,0.0
NEP_HUMAN_54_750_0,-6.88709,-3.5785199999999997,0.4270833333333333,0.6145833333333334,0.3518454920407483,5.117994438779588,15.385416666666666,0.07291666666666667,1203.2973894580246,0.38,0.0
NOS1_HUMAN_302_723_0__3tym_A_rec,-7.064959595959596,4.201050505050505,0.14444444444444443,0.7692307692307693,0.41166680196335936,6.398370334796304,17.197802197802197,0.08791208791208792,1875.4200283541659,0.2,0.0
NOS1_HUMAN_302_723_0__4d7o_A_rec,-7.263161616161616,6.892656565656566,0.16666666666666666,0.7708333333333334,0.41336717676318596,6.213463652335743,18.041666666666668,0.09375,1416.4846778091214,0.18,0.0
NOS2_HUMAN_78_505_0,-6.45361,-1.69654,0.6565656565656566,0.9090909090909091,0.4151423079531504,4.421990674092941,10.616161616161616,0.030303030303030304,531.3667553952341,0.82,0.25
NOS3_HUMAN_65_480_0__1rs9_A_rec,-5.26939,-1.83431,0.5684210526315789,0.9175257731958762,0.44908634721316504,4.204062714670812,10.164948453608247,0.010309278350515464,455.2084383724762,0.87,0.27
NOS3_HUMAN_65_480_0__4kcq_A_rec,-7.457089999999999,-0.58897,0.1595744680851064,0.8085106382978723,0.39087483897980235,6.328938033116565,19.71276595744681,0.13829787234042554,1589.3228184701602,0.45,0.0
NPD_THEMA_1_246_0,,,0.3469387755102041,0.6938775510204082,0.3857284054820843,5.472012240446451,15.193877551020408,0.08163265306122448,1096.0812740563138,0.34,0.0
NQO1_HUMAN_2_274_0__1dxo_C_rec,-4.87135,-0.47313000000000005,0.26262626262626265,0.6161616161616161,0.35249445377530925,5.608142672559316,13.06060606060606,0.0,1257.4253498577423,0.74,0.0
NQO1_HUMAN_2_274_0__1gg5_A_rec,-8.491744897959183,-0.010255102040816297,0.058823529411764705,0.7241379310344828,0.4428295851478427,6.467015889175006,21.770114942528735,0.14942528735632185,2107.3995930123465,0.32,0.0
NR1H4_HUMAN_258_486_0,,,0.1276595744680851,0.9368421052631579,0.1875680472910864,6.191227424546836,34.873684210526314,0.24210526315789474,2207.57433433318,0.94,0.0
ODBB_THET8_1_324_0,-10.16763,-7.18203,0.6666666666666666,0.9696969696969697,0.23822153242310926,6.788468568193463,25.7979797979798,0.1414141414141414,611.8596747825494,0.03,0.0
OLIAC_CANSA_1_101_0,,,0.5252525252525253,0.9595959595959596,0.4218933640298576,4.124885704208072,15.868686868686869,0.010101010101010102,543.3817202327175,0.97,0.0
P2Y12_HUMAN_1_342_0,-7.125877551020408,-0.6343265306122449,0.19540229885057472,0.7840909090909091,0.35939218838189835,6.543621225679431,18.125,0.10227272727272728,1713.1495201455675,0.13,0.0
PA21B_PIG_23_146_0,,,0.7789473684210526,0.73,0.3625349477756462,5.033757448615523,29.64,0.0,1024.1847797330431,0.96,0.0
PA2B8_DABRR_1_121_0,-4.949636363636364,-0.2529393939393939,0.18947368421052632,0.7578947368421053,0.42112411084623,6.010637671304132,15.631578947368421,0.17894736842105263,1329.173846701337,0.58,0.01
PAC_ECOLX_27_846_0,-5.38032,1.24298,0.49473684210526314,0.6597938144329897,0.44223228277387433,4.137546489311377,11.556701030927835,0.030927835051546393,721.4374870479073,0.31,0.01
PAK4_HUMAN_291_591_ATP_0,-7.865259999999999,-7.26499,1.0,1.0,0.625439318250429,4.111684271447663,20.0,0.0,631.0872302266428,1.0,0.85
PHKG1_RABIT_6_296_ATPsite_0,-8.84702,-6.49164,0.29,0.77,0.24386520617739862,6.903850457881813,27.88,0.59,926.9917159057713,0.9,0.0
PHP_SULSO_1_314_0,,,0.94,0.87,0.4361112583065715,2.1890161760649263,12.58,0.0,212.15740140108028,0.75,0.0
PLCD1_RAT_134_756_0,-6.82239,-4.942080000000001,0.85,0.98,0.22235431651492543,6.070981460857868,19.91,0.0,431.28935150280114,0.44,0.0
PNTM_STRAE_2_398_0,,,0.61,0.86,0.5247412451446973,4.972162127028507,18.4,0.03,1216.8344636696004,0.84,0.0
POL_FOAMV_861_1060_0,,,0.16666666666666666,0.8020833333333334,0.41799536565970347,6.545307446218505,16.65625,0.17708333333333334,1603.915399787028,0.23,0.0
PPIA_HUMAN_1_165_0,-5.81771,-4.08706,0.45918367346938777,0.8775510204081632,0.39246798180401427,5.384351050979566,14.642857142857142,0.030612244897959183,897.3044256491131,0.95,0.0
PTGIS_HUMAN_20_500_0,-6.74042,-2.69534,0.5154639175257731,0.9081632653061225,0.4521590889244048,5.0485826844207615,17.806122448979593,0.04081632653061224,828.8262490910818,0.81,0.15
PYRD_TRYCC_2_314_catalytic_0__2e6d_A_rec,-5.450680412371134,-1.8247525773195876,0.6170212765957447,0.7244897959183674,0.3300057455859464,4.576001430268329,9.214285714285714,0.030612244897959183,529.875633143909,0.62,0.02
PYRD_TRYCC_2_314_catalytic_0__3w83_B_rec,-5.342555555555555,-2.1504747474747474,0.7578947368421053,0.9285714285714286,0.41258784796263515,4.421820165025915,9.39795918367347,0.0,382.6344635543978,0.9,0.31
PYRE_BACAN_1_210_0,,,0.44680851063829785,0.6288659793814433,0.26809990516046495,6.105298212630383,16.2680412371134,0.0,690.0089939927469,0.41,0.0
QPCT_HUMAN_33_361_0,-5.44404,-3.73176,0.97,0.98,0.3997967864556496,4.221013262545274,11.3,0.0,326.1154949234211,0.38,0.02
RG1_RAUSE_1_513_0,-6.460570000000001,-2.7329000000000003,0.336734693877551,0.7857142857142857,0.38430061605596044,5.826487302196171,15.285714285714286,0.01020408163265306,801.3398408464361,0.37,0.0
RIBB_VIBCH_2_218_0,,,1.0,1.0,0.16032258939120436,5.649441716541844,14.0,0.0,,0.0,0.0
ROCO4_DICDI_1009_1292_0,,,0.19,0.71,0.21151163420095143,6.966811385924405,27.18,0.39,642.8629932719155,0.82,0.0
SDIA_ECOLI_1_171_0,-7.15769,-4.67649,0.8282828282828283,0.88,0.4378441016148908,4.35347502457505,15.27,0.01,521.6270661975645,0.91,0.46
SIR3_HUMAN_117_398_0,,,0.06521739130434782,0.8172043010752689,0.4306605113965015,6.6281283373672135,15.64516129032258,0.10752688172043011,1530.0955811143162,0.46,0.0
SQHC_ALIAD_1_631_0,-8.773469387755101,3.9660102040816323,0.1348314606741573,0.7555555555555555,0.2755619370914515,6.846128539889755,24.07777777777778,0.3,2289.694553212771,0.07,0.0
TBK1_HUMAN_1_303_0,-6.457093749999999,-3.538614583333333,0.13636363636363635,0.9318181818181818,0.43037454039725664,6.691510805762726,16.59090909090909,0.18181818181818182,1599.3479677215234,0.74,0.0
TIAM1_HUMAN_840_931_0,-3.89811,-1.26574,0.31,0.69,0.3724283773169815,5.088450121575746,11.4,0.0,845.3642104596535,0.76,0.0
TNKS1_HUMAN_1099_1319_0,-7.713105263157895,-2.8536315789473687,0.05747126436781609,0.8977272727272727,0.3892330582651676,6.992167397058666,18.056818181818183,0.29545454545454547,2268.1565608397655,0.28,0.0
TNKS2_HUMAN_948_1162_0,-7.0330200000000005,-3.9736200000000004,0.031914893617021274,0.8421052631578947,0.42711093215098095,6.872326712979037,15.936842105263159,0.09473684210526316,2269.5327391921996,0.47,0.0
TRAR_RHIRD_1_234_0,-7.192212121212121,-4.603868686868687,0.20652173913043478,0.7419354838709677,0.525876477296886,5.85950882536941,13.956989247311828,0.021505376344086023,1462.1846556383844,0.78,0.01
UBE2T_HUMAN_1_156_0,-4.77661,-1.97228,0.6458333333333334,0.979381443298969,0.5723567112841532,4.867117717768423,10.917525773195877,0.020618556701030927,450.216105082497,0.85,0.14
UPPS_ECOLI_1_253_0,-6.97311,-4.17572,0.49,0.85,0.5734442523071712,5.055400008797628,16.5,0.08,917.5915857496274,0.92,0.15
VAOX_PENSI_1_560_0,-9.95818,-7.47412,0.93,1.0,0.18978027695609023,6.43065802470907,25.53,0.0,835.0632009103083,0.89,0.0
XANLY_BACGL_26_777_0,-6.20861,-0.6994500000000001,0.5050505050505051,0.7171717171717171,0.328133222333637,5.06570278693835,14.8989898989899,0.0,729.6780912007916,0.4,0.01
Y635_MYCTU_1_158_0,-6.609125,-4.051458333333334,0.23333333333333334,0.8,0.4641985546167724,5.824459749691796,14.536842105263158,0.05263157894736842,1680.7910926597847,0.87,0.02
