model,n_targets,validity,connected,pb_valid_rate,clash_free_rate,qed_mean,sa_mean,lipinski_frac,vina_score_mean,vina_min_mean,div_uniqueness,div_scaffold_diversity,tanimoto_ref_mean,hit_rate,hit_scaffold_unique_rate
own_t07_on,3,0.9555555555555556,0.6624259741143256,0.13932497758223147,0.68,0.401245158398514,6.2464451941044254,0.7849560351718625,-5.35729029082774,-7.037395913497391,0.9866666666666667,0.8166396244706363,0.07243435619461457,0.0,0.0
own_t085_on,3,0.9666666666666667,0.647299879302211,0.21599956522920571,0.6888888888888888,0.39393548838337766,6.222683311858691,0.771689497716895,-5.331288888888889,-6.92045111111111,0.9977477477477477,0.8242990330756288,0.06832506320715431,0.0,0.0
own_t10_on,3,0.9755555555555556,0.6539792343363772,0.15727517082807085,0.6622222222222223,0.39392780618973705,6.330553360613739,0.7479979979979979,-4.9204575689783745,-6.592304891871737,0.9977477477477477,0.8333487597186228,0.0647601751691237,0.0,0.0
