model,target_id,n_generated,validity,connected,qed_mean,sa_mean,logp_mean,lipinski_frac,veber_frac,pains_free_frac,vina_score_median,vina_score_mean,vina_min_median,vina_min_mean,pb_valid_rate,clash_mean,clash_free_rate,strain_median,tanimoto_ref_mean,div_n_valid,div_uniqueness,div_internal_diversity,div_scaffold_diversity,div_novelty,ref_vina_score,ref_vina_min,ref_vina_dock,hit_rate,hit_scaffold_unique_rate
own,PHP_SULSO_1_314_0,100,1.0,1.0,0.40462308032317545,6.755677974598954,-0.011144300000000034,1.0,0.96,1.0,,,,,0.84,0.0,1.0,393.1570147269782,0.040198084487167246,100,0.4,0.482652104793193,0.13,,,,,0.0,0.0
own,MURA_ECOLI_1_419_catalytic_0,100,1.0,1.0,0.46874819306082194,6.614782622000341,-1.6164908,1.0,0.2,1.0,-6.4384999999999994,-6.4908199999999985,-6.2219999999999995,-6.403960000000001,0.11702127659574468,0.0,1.0,1247.735927403158,0.06393681703859583,100,0.96,0.855357376850836,0.65,,-6.997,-7.012,,0.0,0.0
own,SIR3_HUMAN_117_398_0,100,1.0,1.0,0.5327902511227937,7.253888806638477,0.6481857,1.0,0.91,0.93,,,,,0.0707070707070707,0.0,1.0,1769.4751008214228,0.04864867116228404,100,1.0,0.8984174325284149,0.9797979797979798,,,,,0.0,0.0
own,NOS1_HUMAN_302_723_0__3tym_A_rec,100,1.0,1.0,0.40738296347019615,6.823950443393077,-0.4455560000000001,1.0,0.08,0.97,-4.986,-5.05316,-5.2010000000000005,-5.20504,0.19,0.0,1.0,887.2174091819683,0.03440166283204743,100,0.99,0.8179932051832961,0.77,,-6.362,-6.564,,0.0,0.0
own,NQO1_HUMAN_2_274_0__1gg5_A_rec,100,1.0,1.0,0.5278821001616467,7.108818071344545,0.969849,1.0,0.94,0.99,-6.884,-6.79628,-6.593,-6.532539999999999,0.07,0.0,1.0,827.0347093043779,0.05913607466769175,100,0.95,0.8572098009262498,0.92,,-5.798,-5.741,,0.0,0.0
own,NOS3_HUMAN_65_480_0__1rs9_A_rec,100,1.0,1.0,0.4366801977239658,6.838684259056765,-0.44073899999999994,1.0,0.97,0.99,-4.4670000000000005,-4.5093700000000005,-4.482,-4.5571399999999995,0.08421052631578947,0.03,0.98,775.6640028111535,0.013214265695147807,100,0.88,0.8917942631779905,0.73,,-3.024,-3.087,,0.0,0.0
own,SQHC_ALIAD_1_631_0,100,1.0,1.0,0.38495215908993247,7.23643641405462,0.6765308000000002,1.0,0.44,0.96,-8.756499999999999,-8.962240000000001,-8.639,-8.725090000000002,0.010309278350515464,0.03,0.99,2267.637267088125,0.04735626532819361,100,1.0,0.8850451460121229,0.86,,-11.36,-11.395,,0.0,0.0
own,GRK4_HUMAN_1_578_0,100,1.0,1.0,0.4970082449089022,6.917420785547527,0.3502716999999999,1.0,0.0,0.98,-5.956,-6.10563,-6.248,-6.31969,0.2,0.0,1.0,667.1169579480695,0.10526855883489825,100,0.83,0.6379805413987438,0.43,,-6.741,-6.829,,0.0,0.0
own,NEP_HUMAN_54_750_0,100,1.0,1.0,0.4761993279553849,6.978225447191295,-0.22299579999999997,1.0,0.7,0.99,-8.2135,-8.240319999999999,-8.280000000000001,-8.269640000000003,0.10204081632653061,0.0,1.0,1105.9962612535094,0.05494741408184587,100,1.0,0.8638071941963532,0.76,,-8.689,-8.651,,0.0,0.0
own,KS6A3_HUMAN_41_357_0,100,1.0,1.0,0.45007282765865325,7.2199725670103545,0.5832566,1.0,0.0,0.95,-9.135,-9.22148,-9.0475,-9.158180000000002,0.04,0.0,1.0,1326.0605847743234,0.10680420758631361,100,0.89,0.6237491545331036,0.5,,-8.532,-8.596,,0.0,0.0
own,PA2B8_DABRR_1_121_0,100,1.0,1.0,0.5240630797724491,7.169992603819553,0.9664592000000005,1.0,0.76,0.99,-2.6189999999999998,-2.69288,-3.1345,-3.1347299999999994,0.09,0.0,1.0,1164.0056961932314,0.04144127063524485,100,1.0,0.8747856682322221,0.96,,-3.9,-3.872,,0.0,0.0
own,CAT_ECOLX_1_219_0,100,1.0,1.0,0.40552475919346037,6.305281295730379,0.49570279999999994,1.0,0.96,0.99,-6.066,-6.100809999999999,-6.186,-6.10608,0.39,0.0,1.0,518.8321077359083,0.12595455797342126,100,0.6,0.6389665474624816,0.31,,-6.342,-6.328,,0.0,0.0
own,CONA_CANCT_1_237_0,100,1.0,1.0,0.4859784454709034,6.829134962731043,-0.18736470000000005,1.0,0.68,0.91,-4.442500000000001,-4.468729999999999,-4.512499999999999,-4.471890000000001,0.12244897959183673,0.0,1.0,1152.251183988295,0.08557537570083533,100,0.99,0.8517992998865422,0.73,,-5.215,-5.254,,0.0,0.0
own,MCCF_ECOLX_1_344_0,100,1.0,1.0,0.3358018609139634,6.943046277110455,-0.7607946,1.0,0.27,0.95,,,,,0.0707070707070707,0.0,1.0,1376.6693837330963,0.06306675199798882,100,1.0,0.8960768624267237,0.81,,,,,0.0,0.0
own,POL_FOAMV_861_1060_0,100,1.0,1.0,0.3409278891164647,7.046293694236976,-1.1935639999999998,0.99,0.32,0.93,,,,,0.05,0.0,1.0,1406.0480418401175,0.0422764022810198,100,1.0,0.8935113631271367,0.8,,,,,0.0,0.0
own,UPPS_ECOLI_1_253_0,100,1.0,1.0,0.49078102169934473,6.777619583223976,0.47672909999999996,1.0,0.78,0.9,-6.1080000000000005,-6.1617999999999995,-6.0655,-6.037269999999999,0.31,0.0,1.0,725.6268799587799,0.04289904301774264,100,1.0,0.8878970543072735,0.88,,-7.711,-7.736,,0.0,0.0
