model,target_id,n_generated,validity,connected,qed_mean,sa_mean,logp_mean,lipinski_frac,veber_frac,pains_free_frac,pb_valid_rate,clash_mean,clash_free_rate,strain_median,tanimoto_ref_mean,div_n_valid,div_uniqueness,div_internal_diversity,div_scaffold_diversity,div_novelty,ref_vina_score,ref_vina_min,ref_vina_dock,hit_rate,hit_scaffold_unique_rate,vina_score_median,vina_score_mean
own,PHKG1_RABIT_6_296_ATPsite_0,100,1.0,1.0,0.44749198532072837,7.172171414657816,0.7222196,1.0,0.0,0.99,0.06,0.0,1.0,1396.653596651445,0.11028220874493216,100,0.87,0.423407717874264,0.32,,-7.398,,,0.0,0.0,-7.804,-7.81621
own,PYRD_TRYCC_2_314_catalytic_0__3w83_B_rec,100,1.0,1.0,0.5204071376104171,6.656847763902507,-0.09784180000000008,1.0,1.0,1.0,0.62,0.0,1.0,278.09304472886015,0.03153587518587451,100,0.42,0.7342090142679294,0.38,,-2.969,,,0.0,0.0,-4.474,-4.37736
own,MCCF_ECOLX_1_344_0,100,1.0,1.0,0.3112734690428626,6.953825912198011,-1.2880355999999997,0.99,0.06,0.93,0.04040404040404041,0.89,0.74,1750.3190249879533,0.06897823663601325,100,1.0,0.8698570522973152,0.94,,,,,0.0,0.0,,
own,POL_FOAMV_861_1060_0,100,1.0,1.0,0.4194321487978793,7.104346642000382,0.4920557000000002,1.0,0.57,0.97,0.0,0.54,0.59,2026.3039225667276,0.04936080517563059,100,1.0,0.8912191954824418,1.0,,,,,0.0,0.0,,
own,CAT_ECOLX_1_219_0,100,1.0,1.0,0.546249580821093,6.117030712441714,1.0133208999999999,1.0,1.0,1.0,0.47,0.26,0.8,541.1578799276741,0.1572553457482465,100,0.24,0.28628000435850554,0.12,,-6.342,,,0.0,0.0,-5.4955,-5.324120000000001
own,TNKS1_HUMAN_1099_1319_0,100,1.0,1.0,0.32200424846113,7.3058339022892085,0.3266157000000002,1.0,0.27,0.94,0.021052631578947368,0.01,0.99,3622.7867850078283,0.04823060629024947,100,1.0,0.8970627455291009,0.95,,-15.025,,,0.0,0.0,-7.8655,-8.18678
own,AK1BA_HUMAN_1_316_0,100,1.0,1.0,0.5265927850173032,7.095737863523999,0.5000896000000001,1.0,1.0,0.68,0.5,0.01,0.99,489.6837365292256,0.07053569825848932,100,0.37,0.4571949592167476,0.36,,,,,0.0,0.0,,
own,LMBL1_HUMAN_198_526_0__2rhy_A_rec,100,1.0,1.0,0.3820123364039019,6.502023798060971,-1.192466,1.0,1.0,1.0,0.12,0.0,1.0,460.57076722737474,0.056162121482272544,100,0.54,0.7488178322938925,0.17,,-2.888,,,0.0,0.0,-2.5415,-2.4696100000000003
own,NPD_THEMA_1_246_0,100,1.0,1.0,0.5612017023420509,6.439295312665012,-0.6920498,1.0,0.71,0.9,0.09375,0.12,0.91,1137.67601573003,0.04704243646846274,100,0.86,0.8401043000107404,0.76,,,,,0.0,0.0,,
own,SIR3_HUMAN_117_398_0,100,1.0,1.0,0.5053707944778136,7.179254673913813,0.3865212000000001,1.0,0.82,0.97,0.10204081632653061,0.41,0.76,1673.7879180782936,0.056126227903300435,100,1.0,0.9010433432820232,0.98,,,,,0.0,0.0,,
own,PPIA_HUMAN_1_165_0,100,1.0,1.0,0.5543324991663542,6.868882360932609,-0.3950493999999997,1.0,0.98,1.0,0.65,0.0,1.0,403.59339002548666,0.07792578698123608,100,0.21,0.3383007281637225,0.12,,-5.686,,,0.0,0.0,-5.0695,-5.041339999999999
own,ODBB_THET8_1_324_0,100,1.0,1.0,0.5627969067507369,7.283988556573156,1.8997949999999995,1.0,0.05,0.99,0.25252525252525254,0.97,0.15,844.926182489901,0.10156629697817193,100,0.41,0.39420294508654996,0.16,,-9.046,,,0.0,0.0,-10.0375,-9.896430000000002
own,DYRK2_HUMAN_145_550_0,100,1.0,1.0,0.5588468026013063,7.037230894641868,2.0530942,1.0,0.99,0.99,0.6,0.0,1.0,455.0704552639687,0.08760039090235655,100,0.31,0.5178600727937286,0.21,,-8.83,,,0.0,0.0,-8.543,-8.506359999999999
own,MURA_ECOLI_1_419_catalytic_0,100,1.0,1.0,0.5292671976888704,6.333314415254426,-0.9317036000000001,1.0,0.05,0.94,0.033707865168539325,0.04,0.96,1706.4420765265104,0.09428077444399058,100,0.84,0.75050405480823,0.78,,-6.997,,,0.0,0.0,-6.3635,-6.20794
own,SQHC_ALIAD_1_631_0,100,1.0,1.0,0.31239642490724623,7.021539342433844,-0.5116512,0.96,0.12,0.7,0.0,2.09,0.39,2184.0194724023854,0.06493151514407451,100,0.99,0.7954201128519751,0.71,,-11.36,,,0.0,0.0,-7.4565,-4.51866
own,HDHA_ECOLI_1_255_0,100,1.0,1.0,0.4860991208954318,6.9200427924873384,-0.9860082999999997,1.0,0.53,0.98,0.08247422680412371,4.38,0.28,1491.217523895501,0.06017424860660689,100,1.0,0.8910538132146579,0.898989898989899,,-9.723,,,0.0,0.0,-1.8605,3.9102199999999994
own,DHAK_ECOLI_1_356_0,100,1.0,1.0,0.45084092794169406,6.563378963559729,-0.5143428,1.0,0.98,1.0,0.2727272727272727,0.11,0.95,560.3801263624603,0.07278017130601339,100,0.94,0.871730965908109,0.44,,-2.459,,,0.0,0.0,-2.8440000000000003,-2.30869
own,NR1H4_HUMAN_258_486_0,100,1.0,1.0,0.3460044803237507,7.35895464582997,0.4433108999999999,1.0,0.97,1.0,0.0,0.02,0.99,1387.6901774094963,0.12188631831532103,100,0.5,0.4700371805723754,0.39,,,,,0.0,0.0,,
