model,target_id,n_generated,validity,connected,qed_mean,sa_mean,logp_mean,lipinski_frac,veber_frac,pains_free_frac,pb_valid_rate,clash_mean,clash_free_rate,strain_median,tanimoto_ref_mean,div_n_valid,div_uniqueness,div_internal_diversity,div_scaffold_diversity,div_novelty,ref_vina_score,ref_vina_min,ref_vina_dock,hit_rate,hit_scaffold_unique_rate,vina_score_median,vina_score_mean
own,IDHP_HUMAN_40_452_0,100,1.0,1.0,0.4577825459574829,7.167903759844676,0.7466331000000003,1.0,0.67,0.96,0.0,3.79,0.36,2372.6719264576113,0.04456378760125472,100,1.0,0.8975936221588235,0.97,,,,,0.0,0.0,,
own,AROE_THET8_1_263_0,100,1.0,1.0,0.5007384290702709,5.914796423176348,-0.5625701000000001,1.0,0.97,0.94,0.4444444444444444,0.84,0.84,445.18742951416647,0.08369482250617781,100,0.55,0.7785576149573162,0.39,,-5.533,,,0.0,0.0,-4.6325,-2.6474699999999998
own,P2Y12_HUMAN_1_342_0,100,1.0,1.0,0.39442738445249853,7.126984322711533,0.5976704,1.0,0.52,0.96,0.07142857142857142,1.03,0.64,1971.7294305214398,0.05190493164505686,100,1.0,0.8959418105293474,0.88,,-10.428,,,0.0,0.0,-6.4725,-4.898350000000001
own,BAZ2A_HUMAN_1795_1898_0,100,1.0,1.0,0.5700839409746652,7.102474451106583,0.2388311999999999,1.0,0.94,0.95,0.05,0.0,1.0,1438.3795742075495,0.05909997944816589,100,0.87,0.8849644727890765,0.81,,-4.114,,,0.0,0.0,-4.708,-4.472300000000001
own,SIR3_HUMAN_117_398_0,100,1.0,1.0,0.5053707944778136,7.179254673913813,0.3865212000000001,1.0,0.82,0.97,0.05154639175257732,0.39,0.76,1592.8966877684434,0.056126227903300435,100,1.0,0.9010433432820232,0.98,,,,,0.0,0.0,,
own,NQO1_HUMAN_2_274_0__1gg5_A_rec,100,1.0,1.0,0.5403738054993501,7.2028564802575135,0.37973910000000005,1.0,0.88,0.95,0.031914893617021274,0.07,0.94,1605.9548023009995,0.0663020570679683,100,0.99,0.8871066532833297,0.9696969696969697,,-5.798,,,0.0,0.0,-5.5525,-5.349779999999999
own,NOS3_HUMAN_65_480_0__1rs9_A_rec,100,1.0,1.0,0.4985644221610498,6.797745136819008,-0.32020170000000014,1.0,1.0,0.99,0.20618556701030927,0.1,0.92,697.8719769146035,0.017758557276550797,100,1.0,0.889595567099319,0.76,,-3.024,,,0.0,0.0,-3.6375,-3.4184099999999997
own,NEP_HUMAN_54_750_0,100,1.0,1.0,0.43147824497653997,7.121232748336037,-0.6025839,1.0,0.44,1.0,0.02040816326530612,0.15,0.86,1459.3214074244543,0.06081766303232014,100,0.96,0.8165825764337877,0.66,,-8.689,,,0.0,0.0,-6.827,-6.959179999999999
own,CONA_CANCT_1_237_0,100,1.0,1.0,0.5547927254970756,6.133189566745005,-0.059051400000000115,1.0,0.89,0.9,0.2222222222222222,0.0,1.0,748.0421294150319,0.1236039424960007,100,0.38,0.4174874765505592,0.33,,-5.215,,,0.0,0.0,-4.677,-4.57307
own,MCCF_ECOLX_1_344_0,100,1.0,1.0,0.3112734690428626,6.953825912198011,-1.2880355999999997,0.99,0.06,0.93,0.07291666666666667,0.9,0.74,1738.318492505225,0.06897823663601325,100,1.0,0.8698570522973152,0.94,,,,,0.0,0.0,,
own,UPPS_ECOLI_1_253_0,100,1.0,1.0,0.6236545212224484,6.9723514239036755,0.7707446000000003,1.0,0.94,0.98,0.37755102040816324,0.01,0.99,445.8598628117121,0.03446144198719849,100,0.88,0.8738507573571677,0.77,,-7.711,,,0.0,0.0,-6.1035,-6.2874599999999985
own,PNTM_STRAE_2_398_0,100,1.0,1.0,0.5547345277724463,7.062890932697119,-0.08370300000000017,1.0,0.99,1.0,0.35353535353535354,0.07,0.95,616.3613141797046,0.08518647667860403,100,0.82,0.7808941951409334,0.75,,,,,0.0,0.0,,
own,DHAK_ECOLI_1_356_0,100,1.0,1.0,0.45084092794169406,6.563378963559729,-0.5143428,1.0,0.98,1.0,0.35714285714285715,0.16,0.93,504.32380475307286,0.07278017130601339,100,0.94,0.871730965908109,0.44,,-2.459,,,0.0,0.0,-2.705,-2.32104
own,PAK4_HUMAN_291_591_ATP_0,100,1.0,1.0,0.7706927171826972,7.446898554012128,-0.051895800000000006,1.0,1.0,1.0,0.95,0.0,1.0,379.5926128291369,0.11879968701095463,100,0.04,0.2078868915145864,0.04,,-7.77,,,0.0,0.0,-7.063000000000001,-7.074000000000001
own,LAT_MYCTU_1_449_0,100,1.0,1.0,0.5452167581242381,6.2842579478786975,0.036667699999999866,1.0,0.98,0.99,0.81,0.27,0.95,327.57136519832005,0.1017603714510158,100,0.28,0.5067674197352037,0.15,,-6.276,,,0.0,0.0,-6.550000000000001,-5.84169
own,DYRK2_HUMAN_145_550_0,100,1.0,1.0,0.5588468026013063,7.037230894641868,2.0530942,1.0,0.99,0.99,0.71,0.0,1.0,440.8289739391755,0.08760039090235655,100,0.31,0.5178600727937286,0.21,,-8.83,,,0.0,0.0,-8.707,-8.61932
own,CDK6_HUMAN_1_312_0__2f2c_B_rec,100,1.0,1.0,0.6563759740400762,6.325451086038791,0.46724589999999977,1.0,1.0,0.19,0.81,0.0,1.0,317.24630085826846,0.07494337769721066,100,0.49,0.6456872038011827,0.49,,-7.547,,,0.0,0.0,-8.045,-8.080880000000002
own,RG1_RAUSE_1_513_0,100,1.0,1.0,0.3913299225178911,6.742511435584314,-0.5063105,1.0,0.28,0.8,0.1134020618556701,0.09,0.92,2216.7817105080467,0.06328020189130763,100,0.94,0.8623203409565541,0.83,,-8.156,,,0.0,0.0,-5.761,-5.756316326530611
own,BTRN_BACCI_2_250_0,100,1.0,1.0,0.5264830599770095,6.81242813683667,-1.1918150000000003,1.0,0.06,0.97,0.16666666666666666,0.0,1.0,1141.3363299027064,0.08989112123121515,100,0.76,0.5778807681282823,0.36,,-8.326,,,0.0,0.0,-7.67,-7.61649
own,TNKS1_HUMAN_1099_1319_0,100,1.0,1.0,0.32200424846113,7.3058339022892085,0.3266157000000002,1.0,0.27,0.94,0.03225806451612903,0.01,0.99,3094.1302283375753,0.04823060629024947,100,1.0,0.8970627455291009,0.95,,-15.025,,,0.0,0.0,-8.123000000000001,-8.51878
own,ABL2_HUMAN_274_551_0,100,1.0,1.0,0.5586036214338354,7.262975915855101,1.5132736,1.0,0.98,1.0,0.51,0.0,1.0,663.2070628733276,0.08982609038967829,100,0.23,0.28694708548771486,0.12,,-8.209,,,0.0,0.0,-8.4035,-8.38644
own,CHIB_SERMA_1_499_0__1h0i_A_rec,100,1.0,1.0,0.480464254186684,6.6845409420226245,-0.5553400000000001,1.0,0.98,0.99,0.1134020618556701,0.45,0.78,981.8623908193674,0.04094651754938042,100,0.98,0.8929071429715362,0.85,,,,,0.0,0.0,,
own,PYRD_TRYCC_2_314_catalytic_0__2e6d_A_rec,100,1.0,1.0,0.5050204712074521,5.920522323674432,-0.5685023000000001,1.0,1.0,0.97,0.45,0.02,0.98,444.8486824625368,0.0975311133895961,100,0.55,0.7790610945233843,0.4,,-4.835,,,0.0,0.0,-5.2175,-5.15778
own,FKB1A_HUMAN_2_108_0,100,1.0,1.0,0.2411730391281863,7.317103810985467,0.23295199999999988,1.0,0.11,1.0,0.05102040816326531,0.03,0.97,1577.1966272382158,0.05790250628876398,100,0.82,0.5945284368162966,0.77,,-7.352,,,0.0,0.0,-5.257,-5.18385
own,GUX1_HYPJE_18_451_0,100,1.0,1.0,0.7164686955584207,7.582505549046151,1.2016449000000007,1.0,1.0,1.0,0.11,0.0,1.0,512.8060507783644,0.04702896200053491,100,0.24,0.36921001557387545,0.09,,,,,0.0,0.0,,
